"","name","Base Currency","ISIN","secid","Global Broad Category Group","Morningstar Category","Firm Investment Objective","Strategy Name","Domicile","Fund Legal Structure","Firm Name","Branding Name","Inception Date","Obsolete Date","Status","Manager Name","Manager History","Manager Tenure (Longest)","Manager Tenure (Average)","Primary Prospectus Benchmark","Net Assets Date","Net Assets - Share Class USD","Fund Size Date","Fund Size USD","Portfolio Date","Turnover Ratio % Date","Turnover Ratio %","...28","Gender","Start Date for Managed Investment","Lockup Months","Minimum Investment (Base Currency)","Minimum Initial Unit","Uses Leverage","Avg Leverage","Management Fee","Max Management Fee","Performance Fee","Performance Fee Note","Redemption Fee","Hurdle Rate","High Watermark","Beta Hedge Extent"
"520","CBRE Clarion Global LP","US Dollar",NA,"FHUSA04CZ5","Alternative","HF Global Long/Short Equity","CBRE Clarion Securities, LLC (CBRE Clarion) has over 80 employees located throughout the United States, the United Kingdom, Hong Kong, Japan and Australia. The global transfer of ideas, real estate research and market intelligence truly distinguishes CBRE Clarion. CBRE Clarion’s regional teams draw upon the information of our Research & Strategy Team (R&S Team). Members of CBRE Clarion’s investment team regularly meet with a company’s management and conduct on site research of a company and its properties. Our R&S Team offers local market insights, and a broad real estate perspective which also encompasses direct property markets. This process provides our team the ability to effectively determine proper valuations, expectations, and undiscovered opportunities. CBRE Clarion’s team operates with its Co-Chief Investment Officer, T. Ritson Ferguson leading an experienced team of portfolio managers. The Senior portfolio management team is responsible for all specific portfolio decisions along with three portfolio managers, four Associate PMs, fifteen analysts and four traders. All are integrated in the investment process, and along with portfolio managers, focus on specific geographic regions and/or sectors.","Global Equity-o","United States","Partnership (3C7)","CBRE Clarion Securities, LLC","CBRE",2005-07-01,2013-07-01,0,NA,"[2005-07-01 -- 2013-07-01] Joseph P. Smith",NA,NA,"Credit Suisse Long/Short Equity TR USD",2008-10-31,3.12e+08,NA,NA,2006-12-31,NA,NA,NA,NA,NA,12,1e+06,"Monetary","No",0.3,1,1,20,"20% above 8% preferred return to investor",NA,8,"No","Partial"
"521","Loomis Sayles Consumer Discr II LP","US Dollar",NA,"FOUSA08NWB","Alternative","HF U.S. Long/Short Equity",NA,"Loomis Sayles Consumer Discretionary-o","United States","Exempted Limited Partnership","Loomis Sayles & Co.","Natixis",2005-06-06,2010-04-30,0,NA,"[2005-06-06 -- 2010-04-30] Ted Finch",NA,NA,NA,2010-02-28,17485182,NA,NA,NA,NA,NA,NA,NA,NA,NA,1e+06,"Monetary",NA,NA,2,NA,20,NA,2,NA,"Yes",NA
"522","Loomis Sayles Consumer Discr LP","US Dollar",NA,"FOUSA08NWC","Alternative","HF U.S. Long/Short Equity",NA,"Loomis Sayles Consumer Discr LP-o","United States","Exempted Limited Partnership","Loomis Sayles & Co.","Natixis",2003-05-09,2010-04-30,0,NA,"[2003-05-09 -- 2010-04-30] Ted Finch",NA,NA,NA,2010-02-28,76694209,NA,NA,NA,NA,NA,NA,NA,NA,NA,1e+06,"Monetary",NA,NA,2,NA,20,NA,2,NA,"Yes",NA
"523","Lowell Capital Fund LP","US Dollar",NA,"FOUSA06HXL","Alternative","HF U.S. Long/Short Equity",NA,"U.S. Equity-o","United States","Unstructured Hedge Fund","Lowell Capital Management LLC",NA,2004-02-28,2010-09-21,0,NA,"[2004-02-28 -- 2010-09-21] James Zimmerman",NA,NA,"S&P 500 TR USD",2010-02-28,5e+06,NA,NA,NA,NA,NA,NA,NA,NA,12,5e+05,"Monetary",NA,NA,1,NA,20,NA,NA,NA,"Yes",NA
"524","CBRE Clarion US LP","US Dollar",NA,"FHUSA04BHO","Alternative","HF U.S. Long/Short Equity","CBRE Clarion Securities, LLC (CBRE Clarion) has over 80 employees located throughout the United States, the United Kingdom, Hong Kong, Japan and Australia. The global transfer of ideas, real estate research and market intelligence truly distinguishes CBRE Clarion. CBRE Clarion’s regional teams draw upon the information of our Research & Strategy Team (R&S Team). Members of CBRE Clarion’s investment team regularly meet with a company’s management and conduct on site research of a company and its properties. Our R&S Team offers local market insights, and a broad real estate perspective which also encompasses direct property markets. This process provides our team the ability to effectively determine proper valuations, expectations, and undiscovered opportunities. CBRE Clarion’s team operates with its Co-Chief Investment Officer, T. Ritson Ferguson leading an experienced team of portfolio managers. The Senior portfolio management team is responsible for all specific portfolio decisions along with three portfolio managers, four Associate PMs, fifteen analysts and four traders. All are integrated in the investment process, and along with portfolio managers, focus on specific geographic regions and/or sectors.","U.S. Equity-o","Cayman Islands","Partnership (3C7)","CBRE Clarion Securities, LLC","CBRE",2000-11-20,2012-02-24,0,NA,"[2000-11-20 -- 2012-02-24] Joseph P. Smith;[2000-11-20 -- 2005-11-01] Sherry L. Rexroad;",NA,NA,"Credit Suisse Long/Short Equity TR USD",2011-12-31,106100000,NA,NA,NA,NA,NA,NA,NA,NA,12,1e+06,"Monetary","No",0.3,1,1,20,"20% above 8% preferred return to investor",NA,8,"No","Partial"
"525","LR Global Partners Fund","US Dollar",NA,"F00000GWFQ","Alternative","HF Emerging Markets Long/Short Equity",NA,"LR Global Partners-o","United States","Partnership (3C1)","LR Global","LR Global",1997-06-02,2010-07-27,0,NA,"[1997-06-02 -- 2010-07-27] Don LaGuardia;[1997-06-02 -- 2010-07-27] Thomas Jin;",NA,NA,NA,2009-12-31,59001408,NA,NA,2009-12-31,2009-12-31,80,NA,NA,NA,NA,1e+06,"Monetary",NA,NA,1,NA,20,NA,NA,10,"Yes",NA
"526","ING Clarion Market Neutral LP","US Dollar",NA,"FHUSA04CZ7","Alternative","HF Global Long/Short Equity","CBRE Clarion Securities, LLC (CBRE Clarion) has over 80 employees located throughout the United States, the United Kingdom, Hong Kong, Japan and Australia. The global transfer of ideas, real estate research and market intelligence truly distinguishes CBRE Clarion. CBRE Clarion’s regional teams draw upon the information of our Research & Strategy Team (R&S Team). Members of CBRE Clarion’s investment team regularly meet with a company’s management and conduct on site research of a company and its properties. Our R&S Team offers local market insights, and a broad real estate perspective which also encompasses direct property markets. This process provides our team the ability to effectively determine proper valuations, expectations, and undiscovered opportunities. CBRE Clarion’s team operates with its Co-Chief Investment Officer, T. Ritson Ferguson leading an experienced team of portfolio managers. The Senior portfolio management team is responsible for all specific portfolio decisions along with three portfolio managers, four Associate PMs, fifteen analysts and four traders. All are integrated in the investment process, and along with portfolio managers, focus on specific geographic regions and/or sectors.","Global Equity Market Neutral-o","Cayman Islands","Partnership (3C7)","CBRE Clarion Securities, LLC","CBRE",2005-07-15,2010-12-31,0,NA,"[2005-07-15 -- 2010-12-31] Joseph P. Smith",NA,NA,"Credit Suisse Long/Short Equity TR USD",2010-11-30,83800000,NA,NA,2006-12-31,NA,NA,NA,NA,NA,12,1e+06,"Monetary","No",0.3,1,1,20,"20% above 8% preferred return to investor",NA,8,"No","Partial"
"527","Clayton Capital Appreciation Fund LP","US Dollar",NA,"FHUSA04H2K","Alternative","HF U.S. Long/Short Equity",NA,"US Equity - Opportunistic","United States","Partnership (3C1)","Clayton Partners LLC","Clayton",2003-01-01,NA,1,"Jason Stankowski","[2003-01-01 -- ] Jason Stankowski",17.67,17.67,"Hennessee HF Opportunistic TR USD",2016-12-31,5.1e+07,2020-07-31,3e+07,2006-12-31,2006-12-31,50,NA,NA,2003-01-01,6,150000,"Monetary","Yes",0.35,1,1,20,NA,3,0,"Yes",NA
"528","Lyrical Multi-Manager Fund LP Class III","US Dollar",NA,"FHUSA04EUR","Alternative","HF Fund of Funds - Equity","Jeffrey Keswin founded the company in 2004 to continue investing in compelling value propositions across a variety of asset classes.","Fund ofs","United States","Partnership (3C7)","Lyrical Asset Management, L.P","Lyrical Partners",2004-09-01,2020-03-02,0,"Jeffrey Keswin","[2004-07-01 -- ] Jeffrey Keswin",16.17,16.17,NA,2019-09-30,19700000,2019-09-30,19700000,NA,NA,NA,NA,"Male",2004-07-01,0,1e+06,"Monetary",NA,NA,1.5,NA,10,NA,0,NA,"Yes",NA
"529","Macquarie Asian Alpha Fund","US Dollar","KYG6316A1141","FHUSA04IEJ","Alternative","HF Equity Market Neutral",NA,"Equity Arbitrage - Asia-o","Cayman Islands","Limited Liability Company","Macquarie Funds Group","Macquarie Funds Group",2005-10-03,2018-11-05,0,NA,"[2005-10-03 -- 2018-11-05] Nick Bird;[2006-08-01 -- 2018-11-05] Andrew Alexander;",NA,NA,"MSCI AC Asia Pacific NR USD",2013-12-31,1081370000,NA,NA,2008-12-31,2008-12-31,500,NA,NA,NA,0,1e+06,"Monetary",NA,NA,1.5,NA,20,NA,0,0,"Yes",NA
"530","Magnum Aggressive Growth Fund","US Dollar",NA,"FOUSA05TV7","Alternative","HF Fund of Funds - Equity",NA,"Fund of Fund - Aggressive Growth-o","British Virgin Islands","Limited Liability Company","Magnum US Investments LC","Magnum US Investments",1994-04-04,2018-08-31,0,NA,"[1994-04-04 -- 2018-08-31] Dion Friedland",NA,NA,"S&P 500 TR USD",2018-01-31,2e+07,NA,NA,NA,NA,NA,NA,NA,NA,NA,1e+05,"Monetary",NA,NA,1,1,0,NA,NA,NA,"No",NA
"531","Magnum Edge Fund","US Dollar",NA,"FHUSA04EVJ","Alternative","HF Fund of Funds - Equity",NA,"fund of fund-o","United States","Partnership (3C7)","Magnum US Investments LC","Magnum US Investments",2004-11-01,2012-02-14,0,NA,NA,NA,NA,"S&P 500 TR USD",2011-12-31,9e+06,NA,NA,NA,NA,NA,NA,NA,NA,12,1e+06,"Monetary",NA,NA,NA,NA,10,NA,0,NA,"No",NA
"532","Magnum Growth LP","US Dollar",NA,"FHUSA04BBF","Alternative","HF Fund of Funds - Equity",NA,"Fund of Fund - Growth-o","United States","Partnership (3C7)","Magnum US Investments LC","Magnum US Investments",1997-05-01,2015-03-31,0,NA,NA,NA,NA,"S&P 500 TR USD",2014-11-30,9e+06,NA,NA,NA,NA,NA,NA,NA,NA,12,1e+05,"Monetary","No",NA,1.5,1.5,0,NA,NA,NA,"No",NA
"533","Magnum Russia Fund","US Dollar",NA,"FOUSA06HIG","Alternative","HF Fund of Funds - Equity",NA,"Fund of Fund - Russia Fund-o","British Virgin Islands","Corporation","Magnum US Investments LC","Magnum US Investments",1994-11-01,2013-07-01,0,"Dion Friedland","[1994-10-31 -- ] Dion Friedland",25.92,25.92,"S&P 500 TR USD",2013-06-30,3500000,NA,NA,NA,NA,NA,NA,NA,1994-10-31,NA,50000,"Monetary",NA,NA,NA,NA,10,NA,NA,NA,"No",NA
"534","Magnum Tech Fund","US Dollar",NA,"FHUSA04EVN","Alternative","HF Fund of Funds - Equity",NA,"Fund of Fund - Tech-o","United States","Exempted Limited Partnership","Magnum US Investments LC","Magnum US Investments",2004-11-01,2012-02-14,0,NA,NA,NA,NA,"S&P 500 TR USD",2011-12-31,2e+06,NA,NA,NA,NA,NA,NA,NA,NA,12,5e+05,"Monetary",NA,NA,NA,NA,10,NA,0,NA,"No",NA
"535","Magnum US Equity Fund","US Dollar",NA,"FHUSA04EVO","Alternative","HF Fund of Funds - Equity",NA,"Fund of Fund - US Equity-o","United States","Partnership (3C1)","Magnum US Investments LC","Magnum US Investments",2004-03-01,2012-02-14,0,NA,NA,NA,NA,"S&P 500 TR USD",2011-12-31,9e+06,NA,NA,NA,NA,NA,NA,NA,NA,6,5e+05,"Monetary",NA,NA,NA,NA,20,NA,0,NA,"No",NA
"536","Benchmark Plus Partners Real Alpha, LLC","US Dollar",NA,"FHUSA04BCW","Alternative","HF Fund of Funds - Equity",NA,"Fund of Funds - Real Alpha/Market Neutra","United States","Partnership (3C1)","Benchmark Plus Management, LLC","Benchmark Plus",1998-01-02,2018-01-25,0,NA,"[1998-01-01 -- 2018-01-25] Scott Franzblau;[1998-01-01 -- 2018-01-25] Robert Ferguson;",NA,NA,"3-Month T-Bill: Secondary Market Rate",2015-12-31,5.6e+07,NA,NA,2010-12-31,2006-12-31,20,NA,NA,NA,0,1e+06,"Monetary","Yes",0.4,0.5,0.5,20,NA,0,NA,"Yes",NA
"537","Robbins Opportunity Partners LP","US Dollar",NA,"FHUSA04AWZ","Alternative","HF U.S. Long/Short Equity",NA,"Robbins Opportunity Fund-o","United States","Partnership (3C1)","Robbins Capital Partners L P",NA,1999-08-01,2011-06-15,0,NA,"[1999-08-01 -- 2011-06-15] Robert Robbins",NA,NA,NA,2011-04-30,1400000,NA,NA,NA,NA,NA,NA,NA,NA,12,250000,"Monetary","No",0.4,1,1,20,NA,0,0,"Yes",NA
"538","Arcus Zensen Fund USD","US Dollar","KYG0521W1107","FHUSA04GEZ","Alternative","HF Asia/Pacific Long/Short Equity",NA,"Arcus Developed Asia Equity-o","Cayman Islands","Corporation","Arcus Investment Limited","Arcus",2001-12-01,2018-02-26,0,NA,"[2016-02-01 -- 2018-02-26] Mark Pearson",NA,NA,NA,NA,NA,NA,NA,2006-12-31,NA,NA,NA,NA,NA,0,1e+06,"Monetary","Yes",0.5,1.5,1.5,20,NA,NA,NA,"Yes",NA
"539","BTG Pactual Total Return Equities Fund","US Dollar",NA,"FOUSA05LAV","Alternative","HF Emerging Markets Long/Short Equity",NA,"Emerging Market Equity-o","Cayman Islands","Limited Liability Company","BTG Pactual Asset Management SA DTVM","BTG Pactual",2002-09-18,2011-07-27,0,NA,NA,NA,NA,"S&P 500 TR USD",2010-12-31,7745013,NA,NA,NA,NA,NA,NA,NA,NA,0,50000,"Monetary","Yes",0.5,2,2,20,NA,0,NA,"Yes",NA
"540","FPP Japan Fund","US Dollar",NA,"FOUSA05L64","Alternative","HF Asia/Pacific Long/Short Equity",NA,"Developed Asia Equity - golden-o","Cayman Islands","Open Ended Investment Company","FPP Asset Management LLP","FPP",2008-11-03,2013-01-01,0,NA,"[2008-11-03 -- 2013-01-01] Richard Whittall;[2008-11-03 -- 2013-01-01] Alexander Griffin;",NA,NA,NA,2012-05-31,27600000,NA,NA,NA,NA,NA,NA,NA,NA,0,1e+05,"Monetary","Yes",0.5,1.5,1.5,20,NA,NA,NA,"Yes",NA
"541","Indus Emerging Markets Fund","US Dollar",NA,"FOUSA05LEY","Alternative","HF Emerging Markets Long/Short Equity",NA,"Emerging Markets-o","Cayman Islands","Exempted Limited Partnership","Indus Capital Advisors (HK) Limited",NA,2006-04-03,2012-06-01,0,NA,"[2006-04-03 -- 2012-06-01] Tariq Ahmad",NA,NA,"MSCI EM PR LCL",2012-05-31,1.7e+07,NA,NA,2006-12-31,NA,NA,NA,NA,NA,0,1e+06,"Monetary","Yes",0.5,1.5,1.5,20,NA,0,0,"Yes",NA
"542","Rutledge Partners LP","US Dollar",NA,"FHUSA04AFG","Alternative","HF U.S. Long/Short Equity",NA,"Long Biased-o","United States","Partnership (3C1)","Rutledge Partners LP",NA,1996-05-08,2014-02-27,0,NA,"[1996-05-08 -- 2014-02-27] Edward R. Moore;[1996-05-08 -- 2014-02-27] George Beylouni;",NA,NA,"NASDAQ Composite PR USD",2013-08-31,15289000,NA,NA,2010-12-31,2010-12-31,75,NA,NA,NA,12,5e+05,"Monetary","Yes",0.5,1,1,20,NA,0,0,"Yes",NA
"543","Tantallon Fund","US Dollar",NA,"FOUSA05LEZ","Alternative","HF Global Long/Short Equity",NA,"Long Short Equity","Cayman Islands","Exempted Limited Partnership","Tantallon Capital Inc","Tantallon Capital",2003-11-03,NA,1,"Nick Harbinson;Alex Hill;","[2003-11-03 -- ] Nick Harbinson;[2003-11-03 -- ] Alex Hill;",16.83,16.83,"MSCI Pacific PR USD",2016-11-30,2.4e+07,2020-08-31,4e+07,2006-12-31,2006-12-31,800,NA,NA,2003-11-03,0,1e+06,"Monetary","Yes",0.5,1.5,1.5,20,"0",0,0,"Yes",NA
"544","Claremont Partners LP","US Dollar",NA,"FHUSA04HDA","Alternative","HF Fund of Funds - Equity",NA,"Fund of Funds-o","United States","Partnership (3C1)","Claremont Partners, LP",NA,1995-01-01,2010-09-21,0,NA,"[1995-01-01 -- 2010-09-21] Michael G. Ricciardi;[1995-01-01 -- 2010-09-21] Alan W. Shealy;",NA,NA,"Hennessee HF TR USD",2010-02-28,35800000,NA,NA,NA,NA,NA,NA,NA,NA,12,250000,"Monetary","Yes",0.7,1,1,10,NA,NA,NA,"No",NA
"545","Van Eck Hard Assets LP","US Dollar",NA,"FHUSA04DR4","Alternative","HF Global Long/Short Equity","VanEck’s mission is to offer investors forward-looking, intelligently designed investment strategies that take advantage of targeted market opportunities. VanEck’s approach is to think outside the confines of financial markets as they exist today and identify what major historical trends – political and technological – will change the opportunity set of these markets. Being one of the first to offer investors access to international markets in 1955 set the tone for the Firm’s drive to identify and define investment trends.

VanEck’s story evolves with the early identification of asset classes and trends that went on to shape the investment management business: in 1968 with monetary policy and gold, in 1993 with China and emerging markets, and in 2006 with ETFs.

VanEck brings its best to clients through:

-Independence – a history of placing clients’ interests first in all market environments
-Insight – early identification of investment trends and asset classes that investors may be missing
-Accessibility – clients access to portfolio management teams and Firm resources
-Execution – market-tested portfolio management teams and well-designed processes

VanEck seeks to provide clients with timely and informative materials. In additional to standard client reporting packages, VanEck provides: 

-Portfolio and performance updates, market commentary and views on a regular basis
-Quarterly investment strategy reports written by portfolio managers and analysts
-Frequent value-add and educational papers on timely topics and market events
-Video commentary by its portfolio managers on its website www.vaneck.com

Additionally, in-person client meetings or webinars with portfolio managers and relationship managers are available as requested by the client.

The following investment vehicles are available:

-Mutual funds (retail and institutional shares) 
-Pooled institutional funds
-Variable insurance portfolios
-Sub-advisory
-UCITS funds
-Separate accounts
-Limited partnerships
-Exchange Traded Products","Hard Assets Hedge-o","United States","Partnership (3C1)","Van Eck Associates Corporation","VanEck",1996-01-01,2012-06-01,0,NA,"[1996-01-01 -- 2010-09-30] Derek S. van Eck;[2010-09-30 -- 2012-06-01] Charles T. Cameron;[2010-09-30 -- 2012-06-01] Shawn Reynolds;",NA,NA,"HFRX Equity Hedge USD",2012-05-31,12821709,NA,NA,NA,2006-12-31,600,NA,NA,NA,0,250000,"Monetary","Yes",0.7,1.5,1.5,20,NA,2,NA,"Yes",NA
"546","Market Neutral Hedge Fund","US Dollar",NA,"FOUSA06UOB","Alternative","HF Equity Market Neutral","We focus on identifying the ‘true’ drivers of stock returns to build better valuation metrics, the most important of which is Network Value. The theory backing this was published in the FAJ, essentially the elemental drivers of stock price are related to earnings and liquidity. Importantly, it is by avoiding or underweighting extremely high liquidity and not by owning extreme illiquidity that we obtain value added. 
Second, we do not optimize to client benchmarks and so try to minimize tracking error risk, but instead maximize our expected excess return by optimizing to a reference portfolio (an index that we construct ourselves) that is more efficient – which means we do not ‘hug the benchmark’. 
Thirdly, we combine this with an investment factor trend signal that is dynamic in nature; in other words, different factors will matter at different points in time. This valuation metric is designed to capture mid to long-term investor behavior, which will generally shift through time. The ability to adjust to a variety of market conditions has allowed us to outperform through a variety of investor themes (e.g. deep value environment, strong growth theme, energy demand theme, risk aversion theme). We believe that adaptability will continue to be the cornerstone of our process and will allow us to add value in the foreseeable future, regardless of what investor themes surface. These two main valuation metrics have zero to negative correlation to each other, which makes them extremely attractive compliments, but the first of these two has, and is expected to add the most value.
Finally, we apply judgmental special situations work that complements our investment strategy and consistently adds value.","Market Neutral-o","United States","Limited Liability Company","Denali Advisors LLC","Denali",2003-05-30,2013-09-27,0,NA,NA,NA,NA,"3-Month T-Bill: Secondary Market Rate",2013-02-28,36192296,NA,NA,NA,NA,NA,NA,NA,NA,12,NA,NA,NA,NA,1,NA,20,"Negotiable",NA,NA,"Yes",NA
"547","MARLIN SAMS FUND, L.P.","US Dollar",NA,"FOUSA09JA6","Alternative","HF U.S. Small Cap Long/Short Equity",NA,"Equity long short","United States","Partnership (3C7)","Gladwyne Partners, LLC","Gladwyne Partners",2008-04-08,NA,1,"William M. Sams;Michael Solomon;","[2008-04-09 -- ] William M. Sams;[2008-04-09 -- ] Michael Solomon;",12.42,12.42,NA,2020-07-31,177052027,2020-07-31,177052027,NA,NA,NA,NA,NA,2008-04-09,NA,250000,"Monetary",NA,NA,2,NA,NA,NA,3,NA,NA,NA
"548","MicroCapital Fund LP","US Dollar",NA,"FHUSA04AI1","Alternative","HF U.S. Small Cap Long/Short Equity",NA,"U.S. Small Cap Equity - LP-o","United States","Partnership (3C1)","Microcapital LLC",NA,2000-11-01,2012-01-31,0,NA,"[2000-11-01 -- 2012-01-31] Christopher A. Jarrous;[2000-11-01 -- 2012-01-31] Ian Ellis;",NA,NA,"Russell 2000 Growth TR USD",2012-01-31,16820000,NA,NA,2006-12-31,2006-12-31,150,NA,NA,NA,3,1e+06,"Monetary","Yes",0.85,2,2,20,NA,NA,NA,"Yes",NA
"549","Martin Currie ARF Global Resources USD","US Dollar","BMG5855U2347","FHUSA04CNC","Alternative","HF Emerging Markets Long/Short Equity","At Martin Currie, strategic planning is oriented to the overall quality of the firm, with a primary focus on delivering investment excellence. Its aim as an active-equity manager is to deliver consistent, superior returns for clients globally. Martin Currie does this via its client focused range of outcome orientated equity investment solutions based on its four distinct product pillars, Market Aware, Long-Term Unconstrained, Sustainable Income and Growth and Absolute Returns. 

The delivery of investment excellence is central to what Martin Currie offers its clients. This means a clearly-articulated investment proposition: 
Committed to high-conviction active management
Martin Currie’s high-conviction, active management is driven by the rigour of its distinctive and repeatable research process. 
A collaborative and multi-disciplinary approach to research, drawing on the knowledge of colleagues from across the investment floor, enables Martin Currie to identify and evaluate the mispricing of individual stocks – specifically for those companies that it believes will offer sustainable, long-term growth. This in-house research is always complemented by local market research, lateral industry insights, and company meetings. 
Of course, this is not a process in isolation. It is interwoven with a strong valuation discipline based on the forecasting of normalised earnings power, as well as risk, to determine a company’s fair value.
ESG analysis and active ownership are also fully embedded into Martin Currie’s investment process. This allows Martin Currie to engage with investee companies in order to better understand what motivates them and the mechanisms in place for decision-making. 
Overlaying all of this is an independent and dynamic risk function that informs an optimum risk allocation. All portfolios are continuously monitored for correlated, unintended and excessive risk. When market conditions change, the investment risk team provides Martin Currie’s portfolio managers with experienced interpretation of risk models to quantify the likely impact. As such, Martin Currie thinks of its independent risk team as being the representative of its clients within the firm.
The responsibility for the creation and implementation of the firm’s plan sits with the executive committee, chaired by Chief Executive Officer, Julian Ide.","Global Resources Equity L/S-o","Bermuda","Exempted Limited Partnership","Martin Currie Inc","Legg Mason",2003-10-01,2013-12-31,0,"Duncan Goodwin;Ruairidh Stewart;","[2003-10-01 -- 2011-12-31] Chris Butler;[2003-10-01 -- ] Duncan Goodwin;[2012-01-01 -- ] Ruairidh Stewart;",16.92,12.79,NA,NA,NA,NA,NA,NA,2006-12-31,0,NA,NA,2003-10-01,0,250000,"Monetary","No",NA,1.5,1.5,20,NA,NA,NA,"Yes",NA
"550","Hawthorne Capital Partners LP","US Dollar",NA,"FHUSA04HGQ","Alternative","HF U.S. Long/Short Equity",NA,"U.S. Equity-o","United States","Partnership (3C7)","OMT Capital Management",NA,1999-01-01,2011-06-20,0,NA,"[2005-01-03 -- 2011-06-20] Thomas David Henwood;[2005-01-03 -- 2011-06-20] Paul Sagara;[2005-01-03 -- 2011-06-20] Josh Wilson;[2008-02-25 -- 2011-06-20] Michael O'Brien;",NA,NA,"S&P 500 Composite PR USD",2010-11-30,49542394,NA,NA,2008-12-31,2006-12-31,50,NA,NA,NA,12,5e+05,"Monetary","Yes",0.9,1,1,20,NA,3,NA,"Yes","Partial"
"551","Acero TMT Fund","US Dollar",NA,"FHUSA04G4G","Alternative","HF Global Long/Short Equity",NA,"US Equity-o","United States","Partnership (3C1)","Acero Capital Management LLC",NA,2005-01-03,2010-10-27,0,NA,"[2005-01-05 -- 2010-10-27] Thomas P. Vincent;[2005-01-05 -- 2010-10-27] John Santo Domingo;",NA,NA,"S&P 500 PR",2010-03-31,2100000,NA,NA,2006-12-31,2006-12-31,200,NA,NA,NA,3,1e+05,"Monetary","Yes",1,2,2,20,NA,NA,NA,"Yes",NA
"552","Masters Research Partners LP","US Dollar",NA,"FHUSA04B2K","Alternative","HF Fund of Funds - Equity",NA,"Fund of Fund - Research Partners","United States","Partnership (3C1)","Magnum US Investments LC","Magnum US Investments",2000-10-02,NA,1,NA,NA,NA,NA,"S&P 500 TR USD",2019-06-30,86500000,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"553","MC ARF Global Energy USD","US Dollar","BMG5855U3253","FOUSA06HZV","Alternative","HF Asia/Pacific Long/Short Equity","At Martin Currie, strategic planning is oriented to the overall quality of the firm, with a primary focus on delivering investment excellence. Its aim as an active-equity manager is to deliver consistent, superior returns for clients globally. Martin Currie does this via its client focused range of outcome orientated equity investment solutions based on its four distinct product pillars, Market Aware, Long-Term Unconstrained, Sustainable Income and Growth and Absolute Returns. 

The delivery of investment excellence is central to what Martin Currie offers its clients. This means a clearly-articulated investment proposition: 
Committed to high-conviction active management
Martin Currie’s high-conviction, active management is driven by the rigour of its distinctive and repeatable research process. 
A collaborative and multi-disciplinary approach to research, drawing on the knowledge of colleagues from across the investment floor, enables Martin Currie to identify and evaluate the mispricing of individual stocks – specifically for those companies that it believes will offer sustainable, long-term growth. This in-house research is always complemented by local market research, lateral industry insights, and company meetings. 
Of course, this is not a process in isolation. It is interwoven with a strong valuation discipline based on the forecasting of normalised earnings power, as well as risk, to determine a company’s fair value.
ESG analysis and active ownership are also fully embedded into Martin Currie’s investment process. This allows Martin Currie to engage with investee companies in order to better understand what motivates them and the mechanisms in place for decision-making. 
Overlaying all of this is an independent and dynamic risk function that informs an optimum risk allocation. All portfolios are continuously monitored for correlated, unintended and excessive risk. When market conditions change, the investment risk team provides Martin Currie’s portfolio managers with experienced interpretation of risk models to quantify the likely impact. As such, Martin Currie thinks of its independent risk team as being the representative of its clients within the firm.
The responsibility for the creation and implementation of the firm’s plan sits with the executive committee, chaired by Chief Executive Officer, Julian Ide.","Global Energy-o","Bermuda","Open Ended Investment Company","Martin Currie Inc","Legg Mason",2007-02-28,2011-04-20,0,NA,"[2007-02-28 -- 2011-04-20] Duncan Goodwin",NA,NA,"S&P 500 TR USD",2008-11-30,34900000,NA,NA,NA,NA,NA,NA,NA,NA,0,1e+05,"Monetary",NA,NA,2,NA,20,NA,NA,NA,"No",NA
